rname,A-site,count
5,2359,18
3,727,13
7,33951,1
4,2850,4
5,2078,22
10,18882,1
11,3495,1
9,528,10
18,7305,2
X,314,30
22,2095,5
5,7448,1
18,3650,1
3,9239,1
12,22412,2
5,2677,3
10,3895,1
12,3877,3
19,6997,7
22,7183,1
11,2900,1
11,2004,1
15,4869,9
3,7828,1
3,5125,1
6,2705,4
6,1425,4
18,670,1
3,7181,6
15,4269,1
2,2823,1
7,2649,1
15,3636,2
5,5842,66
2,9582,1
4,58175,1
19,1173,3
8,7916,2
X,1438,2
X,1448,2
20,2785,2
19,59199,1
20,8681,1
1,34851,1
1,903,14
2,8028,1
22,1443,1
1,18597,9
13,738,1
19,16997,1
11,4881,6
13,16924,1
21,396,18
6,2066,4
9,23964,2
3,2328,2
13,24938,2
KI270728.1,37,3
11,12099,4
14,5761,8
16,4365,2
3,35680,2
10,1602,2
Y,1882,2
1,1478,11
12,316,50
17,698,11
9,7207,1
10,15810,2
14,4030,5
6,1550,3
20,1485,2
11,1134,4
16,852,5
7,186,58
5,2327,1
1,86904,3
11,721,21
5,18921,1
12,16924,1
2,13656,2
18,163686,5
6,20671,1
1,492,20
6,4686,3
16,1101,7
10,101100,4
15,2119,25
3,7719,3
2,4047,3
7,2442,48
8,143,11
12,1042,4
7,4975,1
17,3037,4
13,45408,5
11,2308,2
12,10151,1
19,5197,1
1,5439,9
2,1955,16
19,3989,9
20,8818,2
5,1243,7
2,53335,1
8,1540,19
4,10604,1
9,6903,2
20,5371,1
8,9310,5
17,7756,1
13,740,5
1,2992,14
13,141957,1
7,7215,34
5,1211,21
12,2351,2
15,211,14
5,3442,6
16,529,7
14,7263,3
11,4281,1
2,3579,1
10,4308,2
21,2573,2
12,1229,6
X,3576,2
5,16105,2
3,11091,1
12,4849,12
4,3795,2
5,4852,1
5,1969,1
1,7346,1
4,62071,14
7,43515,1
16,3022,1
9,1032,1
2,19691,2
12,3542,1
2,3827,5
5,2412,1
3,2448,5
7,23819,1
15,579,3
3,115286,1
17,2639,1
11,1743,61
5,2214,3
19,1417,11
5,596,13
2,1067,15
16,558,13
4,2946,12
5,14740,1
2,19566,1
5,7579,1
19,3324,24
15,941,1
11,2303,1
2,4073,18
19,10650,4
12,6732,1
9,1248,11
3,3792,2
11,3462,2
8,77707,1
16,3794,1
3,3708,11
16,1901,12
7,1456,5
19,158,111
22,8858,9
2,960,59
19,6800,1
1,33617,2
11,7617,1
4,12907,1
3,1149,2
16,8881,5
3,38737,1
7,6473,1
18,3714,1
5,1388,27
11,4050,5
2,14143,9
3,1166,4
1,7320,2
6,3017,4
1,1342,10
8,3808,4
13,6390,5
9,9671,1
4,7391,3
7,4882,1
17,3732,17
11,5916,2
